arrival_time,route_short_name,route_long_name,headsign,service_days
06:12:43,147,Outer DuSable Lake Shore Express,,Sun
15:48:45,147,Outer DuSable Lake Shore Express,,Sat
21:56:53,147,Outer DuSable Lake Shore Express,,Sat
07:58:45,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
06:33:18,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
09:52:05,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
13:19:45,147,Outer DuSable Lake Shore Express,,Sat
19:09:32,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
11:12:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
12:29:27,147,Outer DuSable Lake Shore Express,,Sat
21:32:40,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
23:57:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:02:27,147,Outer DuSable Lake Shore Express,,Sun
05:42:13,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:49:53,147,Outer DuSable Lake Shore Express,,Sat
08:26:48,147,Outer DuSable Lake Shore Express,,Sun
18:32:27,147,Outer DuSable Lake Shore Express,,Sun
16:29:57,147,Outer DuSable Lake Shore Express,,Sun
17:13:45,147,Outer DuSable Lake Shore Express,,Sun
05:32:13,147,Outer DuSable Lake Shore Express,,Sun
10:19:23,147,Outer DuSable Lake Shore Express,,Sun
15:46:27,147,Outer DuSable Lake Shore Express,,Sun
17:03:15,147,Outer DuSable Lake Shore Express,,Sun
17:56:57,147,Outer DuSable Lake Shore Express,,Sat
14:55:02,147,Outer DuSable Lake Shore Express,,Sat
17:13:54,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:30:32,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
10:01:57,147,Outer DuSable Lake Shore Express,,Sat
18:52:27,147,Outer DuSable Lake Shore Express,,Sun
12:38:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
07:58:45,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:15:23,147,Outer DuSable Lake Shore Express,,Sun
20:06:27,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:46:02,147,Outer DuSable Lake Shore Express,,Sat
13:59:45,147,Outer DuSable Lake Shore Express,,Sat
20:21:53,147,Outer DuSable Lake Shore Express,,Sun
21:42:23,147,Outer DuSable Lake Shore Express,,Sun
20:39:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:02:40,147,Outer DuSable Lake Shore Express,,Sat
23:36:35,147,Outer DuSable Lake Shore Express,,Sun
20:35:23,147,Outer DuSable Lake Shore Express,,Sun
22:16:53,147,Outer DuSable Lake Shore Express,,Sat
14:10:45,147,Outer DuSable Lake Shore Express,,Sat
19:09:57,147,Outer DuSable Lake Shore Express,,Sat
10:32:05,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
10:32:05,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
08:52:18,147,Outer DuSable Lake Shore Express,,Sat
18:32:27,147,Outer DuSable Lake Shore Express,,Sun
11:25:27,147,Outer DuSable Lake Shore Express,,Sat
18:28:40,147,Outer DuSable Lake Shore Express,,Sat
09:45:23,147,Outer DuSable Lake Shore Express,,Sun
10:33:57,147,Outer DuSable Lake Shore Express,,Sat
17:23:54,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:41:02,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
21:56:53,147,Outer DuSable Lake Shore Express,,Sat
13:42:23,147,Outer DuSable Lake Shore Express,,Sun
17:42:57,147,Outer DuSable Lake Shore Express,,Sat
08:26:45,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
20:45:23,147,Outer DuSable Lake Shore Express,,Sat
22:37:05,147,Outer DuSable Lake Shore Express,,Sun
19:25:40,147,Outer DuSable Lake Shore Express,,Sat
14:37:32,147,Outer DuSable Lake Shore Express,,Sat
19:22:27,147,Outer DuSable Lake Shore Express,,Sun
16:03:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:59:23,147,Outer DuSable Lake Shore Express,,Sun
15:52:02,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:31:27,147,Outer DuSable Lake Shore Express,,Sun
19:56:53,147,Outer DuSable Lake Shore Express,,Sat
16:14:15,147,Outer DuSable Lake Shore Express,,Sat
16:39:45,147,Outer DuSable Lake Shore Express,,Sat
20:36:53,147,Outer DuSable Lake Shore Express,,Sat
11:25:27,147,Outer DuSable Lake Shore Express,,Sat
17:29:15,147,Outer DuSable Lake Shore Express,,Sat
20:06:27,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:14:53,147,Outer DuSable Lake Shore Express,,Sat
06:51:05,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
22:16:53,147,Outer DuSable Lake Shore Express,,Sat
20:11:53,147,Outer DuSable Lake Shore Express,,Sat
20:21:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
24:17:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:02:27,147,Outer DuSable Lake Shore Express,,Sun
16:31:15,147,Outer DuSable Lake Shore Express,,Sat
12:00:10,147,Outer DuSable Lake Shore Express,,Sun
09:09:35,147,Outer DuSable Lake Shore Express,,Sat
15:04:32,147,Outer DuSable Lake Shore Express,,Sat
14:54:32,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:45:10,147,Outer DuSable Lake Shore Express,,Sat
23:18:05,147,Outer DuSable Lake Shore Express,,Sun
06:30:13,147,Outer DuSable Lake Shore Express,,Sun
05:31:13,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
