arrival_time,route_short_name,route_long_name,headsign,service_days
06:18:00,,Green Line,,Sun
08:55:00,,Green Line,,Sun
11:16:00,,Green Line,,Sun
14:06:00,,Green Line,,Sun
22:07:00,,Green Line,,Sun
19:36:00,,Green Line,,Sun
00:31:00,,Green Line,,Mon
11:46:00,,Green Line,,Sun
14:16:00,,Green Line,,Sun
17:06:00,,Green Line,,Sun
22:43:00,,Green Line,,Sun
00:55:00,,Green Line,,Mon
06:31:00,,Green Line,,Sun
09:07:00,,Green Line,,Sun
16:36:00,,Green Line,,Sun
19:26:00,,Green Line,,Sun
20:06:00,,Green Line,,Sun
01:07:00,,Green Line,,Mon
17:26:00,,Green Line,,Sun
11:36:00,,Green Line,,Sun
14:26:00,,Green Line,,Sun
16:56:00,,Green Line,,Sun
22:31:00,,Green Line,,Sun
19:46:00,,Green Line,,Sun
06:43:00,,Green Line,,Sun
09:19:00,,Green Line,,Sun
12:06:00,,Green Line,,Sun
14:36:00,,Green Line,,Sun
19:56:00,,Green Line,,Sun
01:19:00,,Green Line,,Mon
06:55:00,,Green Line,,Sun
09:31:00,,Green Line,,Sun
11:56:00,,Green Line,,Sun
14:46:00,,Green Line,,Sun
17:16:00,,Green Line,,Sun
07:07:00,,Green Line,,Sun
12:26:00,,Green Line,,Sun
09:43:00,,Green Line,,Sun
14:56:00,,Green Line,,Sun
23:07:00,,Green Line,,Sun
07:19:00,,Green Line,,Sun
09:55:00,,Green Line,,Sun
12:16:00,,Green Line,,Sun
15:06:00,,Green Line,,Sun
17:36:00,,Green Line,,Sun
20:26:00,,Green Line,,Sun
22:55:00,,Green Line,,Sun
12:46:00,,Green Line,,Sun
17:46:00,,Green Line,,Sun
20:16:00,,Green Line,,Sun
23:31:00,,Green Line,,Sun
10:26:00,,Green Line,,Sun
15:16:00,,Green Line,,Sun
20:36:00,,Green Line,,Sun
18:06:00,,Green Line,,Sun
07:31:00,,Green Line,,Sun
10:06:00,,Green Line,,Sun
12:36:00,,Green Line,,Sun
15:26:00,,Green Line,,Sun
17:56:00,,Green Line,,Sun
20:46:00,,Green Line,,Sun
23:19:00,,Green Line,,Sun
05:03:00,,Green Line,,Sun
07:43:00,,Green Line,,Sun
10:16:00,,Green Line,,Sun
13:06:00,,Green Line,,Sun
18:26:00,,Green Line,,Sun
15:36:00,,Green Line,,Sun
20:56:00,,Green Line,,Sun
12:56:00,,Green Line,,Sun
23:43:00,,Green Line,,Sun
15:46:00,,Green Line,,Sun
18:16:00,,Green Line,,Sun
21:07:00,,Green Line,,Sun
13:16:00,,Green Line,,Sun
16:06:00,,Green Line,,Sun
21:31:00,,Green Line,,Sun
18:36:00,,Green Line,,Sun
23:55:00,,Green Line,,Sun
05:33:00,,Green Line,,Sun
08:07:00,,Green Line,,Sun
10:36:00,,Green Line,,Sun
21:19:00,,Green Line,,Sun
13:26:00,,Green Line,,Sun
05:18:00,,Green Line,,Sun
07:55:00,,Green Line,,Sun
10:46:00,,Green Line,,Sun
24:07:00,,Green Line,,Sun
06:03:00,,Green Line,,Sun
08:43:00,,Green Line,,Sun
15:56:00,,Green Line,,Sun
18:46:00,,Green Line,,Sun
05:48:00,,Green Line,,Sun
08:19:00,,Green Line,,Sun
11:06:00,,Green Line,,Sun
13:36:00,,Green Line,,Sun
16:26:00,,Green Line,,Sun
18:56:00,,Green Line,,Sun
21:55:00,,Green Line,,Sun
00:19:00,,Green Line,,Mon
08:31:00,,Green Line,,Sun
10:56:00,,Green Line,,Sun
16:16:00,,Green Line,,Sun
13:46:00,,Green Line,,Sun
19:06:00,,Green Line,,Sun
21:43:00,,Green Line,,Sun
11:26:00,,Green Line,,Sun
13:56:00,,Green Line,,Sun
16:46:00,,Green Line,,Sun
00:43:00,,Green Line,,Mon
07:19:00,,Green Line,,Sat
09:31:00,,Green Line,,Sat
11:46:00,,Green Line,,Sat
13:56:00,,Green Line,,Sat
16:06:00,,Green Line,,Sat
18:16:00,,Green Line,,Sat
20:36:00,,Green Line,,Sat
23:19:00,,Green Line,,Sat
05:33:00,,Green Line,,Sat
07:43:00,,Green Line,,Sat
09:55:00,,Green Line,,Sat
19:16:00,,Green Line,,Sun
22:19:00,,Green Line,,Sun
06:43:00,,Green Line,,Sat
08:55:00,,Green Line,,Sat
12:06:00,,Green Line,,Sat
14:16:00,,Green Line,,Sat
16:46:00,,Green Line,,Sat
10:36:00,,Green Line,,Sat
18:56:00,,Green Line,,Sat
06:03:00,,Green Line,,Sat
08:07:00,,Green Line,,Sat
15:06:00,,Green Line,,Sat
12:46:00,,Green Line,,Sat
21:16:00,,Green Line,,Sat
17:16:00,,Green Line,,Sat
23:55:00,,Green Line,,Sat
08:31:00,,Green Line,,Sat
21:36:00,,Green Line,,Sat
10:56:00,,Green Line,,Sat
00:43:00,,Green Line,,Sun
13:06:00,,Green Line,,Sat
19:16:00,,Green Line,,Sat
11:36:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
13:46:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
11:46:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
17:49:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
17:57:30,,Green Line,,Mon,Tue,Wed,Thu,Fri
20:56:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
15:41:30,,Green Line,,Mon,Tue,Wed,Thu,Fri
15:33:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
06:03:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
06:15:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
20:16:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
08:46:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
09:06:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
20:06:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
22:26:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
22:36:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
15:50:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
17:15:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
15:58:30,,Green Line,,Mon,Tue,Wed,Thu,Fri
05:48:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
05:18:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
05:03:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
12:16:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
12:06:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
14:06:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
19:56:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
13:56:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
21:06:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
19:46:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
21:16:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
17:06:30,,Green Line,,Mon,Tue,Wed,Thu,Fri
16:07:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
16:41:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
21:26:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
19:16:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
